,index,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Puntos Fantasy,Player,Team,Precio,Uso,Form,TP,PosFantasy,PosAgg
109,109,,marcus smart,Mem,G,30.1,20,30.2,23.0,20.7,56,0.768,103,0.583,134,0.313,0.519,0.552,14.5,2.7,4.3,2.1,0.3,3.1,17.1,18.8,21.4,7.3,100.1,108.8,25.836599999999997,marcus smart, MEM  ,10.5,0.003,0.0,557.6,Front,Back
110,110,,bennedict mathurin,Ind,F,21.8,59,26.1,23.4,12.8,224,0.821,449,0.481,214,0.374,0.507,0.562,14.5,4.0,2.0,0.6,0.2,1.6,18.5,16.5,20.5,7.5,109.6,116.0,22.307627118644064,bennedict mathurin, IND  ,9.5,0.021,0.0,1365.3,Front,Front
111,111,,tim hardaway jr.,Dal,G-F,32.1,79,26.8,22.6,6.6,169,0.852,379,0.478,597,0.353,0.51,0.542,14.4,3.2,1.8,0.5,0.1,0.9,17.6,16.2,19.4,6.5,109.4,115.0,21.251835443037976,tim hardaway jr., DET  ,9.0,0.014,0.0,1727.3,Front,Back
112,112,,og anunoby,Nyk,F,26.7,23,34.9,16.8,12.9,43,0.791,152,0.553,104,0.394,0.568,0.591,14.1,4.4,1.5,1.7,1.0,1.7,18.6,15.7,20.1,5.2,112.6,108.6,25.362739130434782,og anunoby, NYK  ,10.5,0.136,0.0,1372.3,Front,Front
113,113,,rudy gobert,Min,C,31.8,76,34.1,15.4,16.1,390,0.638,611,0.664,3,0.0,0.661,0.675,14.0,12.9,1.3,0.7,2.1,1.6,26.9,15.3,28.2,7.2,130.4,99.7,35.38036842105263,rudy gobert, MIN  ,14.0,0.007,0.0,2915.2,Front,Back
114,114,,caris levert,Cle,G,29.6,68,28.8,23.1,12.5,201,0.766,488,0.486,332,0.325,0.487,0.524,14.0,4.1,5.1,1.1,0.5,1.7,18.1,19.1,23.2,9.2,110.0,109.7,28.070029411764704,caris levert, CLE  ,11.5,0.001,0.0,2020.0,Front,Back
115,115,,scoot henderson,Por,G,20.2,62,28.5,26.5,21.0,204,0.819,529,0.416,268,0.325,0.44,0.489,14.0,3.1,5.4,0.8,0.2,3.4,17.1,19.4,22.5,8.7,96.9,111.3,24.428129032258067,scoot henderson, POR  ,10.0,0.025,0.0,1575.8,Back,Back
116,116,,aaron gordon,Den,F,28.6,73,31.5,17.8,12.8,269,0.658,578,0.619,138,0.29,0.584,0.607,13.9,6.4,3.5,0.8,0.6,1.4,20.3,17.4,23.9,8.6,124.2,111.3,28.20158904109589,aaron gordon, DEN  ,11.5,0.018,0.0,2163.5,Front,Front
117,117,,norman powell,Lac,G,30.9,76,26.2,20.0,7.9,172,0.831,384,0.536,384,0.435,0.594,0.626,13.9,2.6,1.1,0.6,0.3,0.9,16.5,15.0,17.5,5.2,120.3,113.6,19.560789473684213,norman powell, LAC  ,8.5,0.025,0.0,1542.0,Front,Back
118,118,,grant williams,Cha,F,25.4,29,30.6,19.0,16.3,85,0.765,162,0.605,126,0.373,0.585,0.618,13.9,5.1,3.2,0.7,0.4,1.9,19.0,17.1,22.2,8.0,116.2,113.2,25.083413793103446,grant williams, CHA  ,8.5,0.004,0.0,1566.6,Front,Front
119,119,,bobby portis,Mil,F,29.2,82,24.5,22.8,9.0,124,0.79,672,0.545,246,0.407,0.562,0.581,13.8,7.4,1.3,0.8,0.4,1.1,21.2,15.0,22.5,8.3,114.6,106.1,25.920317073170736,bobby portis, MIL  ,10.0,0.059,0.0,2229.4,Front,Front
120,120,,jalen duren,Det,C,20.4,61,29.1,18.5,18.6,181,0.79,560,0.623,4,0.0,0.619,0.653,13.8,11.6,2.4,0.5,0.8,2.1,25.4,16.2,27.8,10.0,121.1,107.3,31.8027868852459,jalen duren, DET  ,12.5,0.007,0.0,2023.3,Front,Back
121,121,,kenneth lofton jr.,Uta,F,21.7,4,22.7,21.1,14.5,11,0.818,23,0.739,12,0.333,0.657,0.69,13.8,5.0,4.8,0.8,0.5,1.5,18.8,18.5,23.5,12.2,138.7,113.6,28.044999999999998,kenneth lofton jr., CHI  ,5.0,0.012,0.0,210.1,Front,Front
122,122,,dennis schroder,Tor,G,30.6,51,30.6,19.4,12.9,149,0.852,339,0.501,220,0.35,0.511,0.559,13.7,2.7,6.1,0.9,0.2,1.6,16.4,19.8,22.6,8.0,117.4,116.9,26.668941176470586,dennis schroder, BKN  ,10.5,0.023,0.0,2231.4,Front,Back
