,index,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Puntos Fantasy,Player,Team,Precio,Uso,Form,TP,PosFantasy,PosAgg
170,170,,daniel gafford,Dal,F-C,25.5,29,21.5,16.4,13.1,56,0.607,186,0.78,0,0.0,0.78,0.769,11.2,6.9,1.6,0.7,1.9,1.0,18.1,12.8,19.7,9.3,144.1,102.2,26.057655172413792,daniel gafford, DAL  ,12.0,0.008,0.0,2240.9,Front,Front
171,171,,russell westbrook,Lac,G,35.4,68,22.5,25.2,17.8,160,0.688,509,0.509,154,0.273,0.486,0.514,11.1,5.0,4.5,1.1,0.3,2.1,16.1,15.6,20.6,11.2,106.8,108.6,24.543647058823527,russell westbrook, DEN  ,10.0,0.048,0.0,1771.6,Front,Back
172,172,,jakob poeltl,Tor,C,28.5,50,26.4,16.2,16.9,107,0.551,378,0.656,0,0.0,0.656,0.653,11.1,8.6,2.5,0.7,1.5,1.5,19.7,13.6,22.2,9.4,123.8,107.9,28.067859999999996,jakob poeltl, TOR  ,12.0,0.001,0.0,1516.3,Front,Back
173,173,,de'anthony melton,Phi,G,25.9,38,26.9,18.3,9.8,79,0.835,146,0.425,214,0.36,0.493,0.533,11.1,3.7,3.0,1.6,0.4,1.0,14.8,14.1,17.8,7.4,113.2,108.5,23.023815789473684,de'anthony melton, GSW  ,9.5,0.018,0.0,950.2,Back,Back
174,174,,eric gordon,Pho,G,35.3,68,27.8,16.5,10.6,64,0.797,221,0.561,397,0.378,0.565,0.58,11.0,1.8,2.0,1.0,0.4,1.1,12.8,13.1,14.9,4.9,112.3,116.0,17.877176470588235,eric gordon, PHI  ,7.5,0.01,0.0,1320.1,Front,Back
175,175,,luke kennard,Mem,G,27.8,39,25.6,16.7,14.6,45,0.889,77,0.442,238,0.45,0.617,0.641,11.0,2.9,3.5,0.5,0.1,1.4,13.9,14.5,17.4,7.5,121.3,116.5,19.539564102564103,luke kennard, MEM  ,8.5,0.005,0.0,780.6,Front,Back
176,176,,wendell carter jr.,Orl,C,25.0,55,25.6,17.2,13.8,134,0.694,254,0.626,171,0.374,0.6,0.623,11.0,6.9,1.7,0.6,0.5,1.2,17.9,12.7,19.6,7.9,121.8,104.5,22.7912,wendell carter jr., ORL  ,9.5,0.002,0.0,1323.7,Front,Back
177,177,,herbert jones,Nor,G,25.5,76,30.5,14.1,13.6,158,0.867,315,0.568,273,0.418,0.595,0.636,11.0,3.6,2.6,1.4,0.8,1.2,14.6,13.6,17.2,6.1,124.0,106.7,22.435368421052637,herbert jones, NOP  ,9.5,0.014,0.0,1869.9,Front,Back
178,178,,jusuf nurkic,Pho,C,29.6,76,27.3,19.1,21.8,261,0.64,537,0.555,90,0.244,0.528,0.559,10.9,11.0,4.0,1.1,1.0,2.3,21.9,14.9,25.9,11.5,113.4,99.8,32.00776315789474,jusuf nurkic, PHX  ,12.5,0.001,0.0,2591.1,Front,Back
179,179,,moritz wagner,Orl,F-C,27.0,80,17.7,22.8,15.0,204,0.814,436,0.674,115,0.33,0.637,0.677,10.9,4.4,1.2,0.5,0.3,1.2,15.2,12.1,16.4,8.7,125.7,102.2,18.325425000000003,moritz wagner, ORL  ,7.5,0.046,0.0,1512.6,Front,Front
180,180,,luguentz dort,Okc,F,25.0,79,28.4,15.4,10.1,155,0.826,261,0.506,396,0.394,0.557,0.593,10.9,3.6,1.4,0.9,0.6,0.9,14.5,12.3,15.9,5.4,116.8,107.4,19.409037974683546,luguentz dort, OKC  ,9.0,0.026,0.0,1653.3,Back,Front
181,181,,daniel gafford,Was,C,25.5,45,26.5,13.9,13.5,119,0.706,294,0.69,0,0.0,0.69,0.707,10.9,8.0,1.5,1.0,2.2,1.0,18.9,12.4,20.4,7.7,137.2,108.7,28.132977777777775,daniel gafford, DAL  ,12.0,0.008,0.0,2240.9,Front,Back
182,182,,isaiah stewart,Det,F,22.9,46,30.9,14.5,14.7,85,0.753,207,0.575,175,0.383,0.575,0.6,10.9,6.6,1.6,0.4,0.8,1.4,17.6,12.5,19.2,6.3,113.3,115.3,22.257608695652177,isaiah stewart, DET  ,9.5,0.002,0.0,1077.5,Front,Front
183,183,,jake laravia,Mem,F,22.4,35,23.0,21.1,12.9,109,0.826,147,0.442,156,0.34,0.477,0.54,10.8,3.7,1.7,0.8,0.3,1.3,14.5,12.5,16.1,7.1,109.0,110.4,18.721485714285716,jake laravia, MEM  ,7.0,0.004,0.0,697.6,Front,Front
184,184,,vasilije micic,Cha,G,30.3,30,27.2,20.3,20.0,56,0.839,170,0.529,109,0.294,0.495,0.532,10.8,2.1,6.2,0.7,0.1,2.3,12.9,17.0,19.1,7.6,107.1,119.8,21.886066666666665,vasilije micic, CHA  ,5.5,0.034,0.0,935.6,Back,Back
185,185,,santi aldama,Mem,F-C,23.3,61,26.5,17.9,10.8,87,0.621,264,0.534,304,0.349,0.528,0.539,10.7,5.8,2.3,0.7,0.9,1.1,16.5,13.0,18.8,7.9,108.6,112.0,23.23568852459016,santi aldama, MEM  ,9.5,0.02,0.0,1505.4,Front,Front
186,186,,jaden mcdaniels,Min,F,23.5,72,29.2,15.7,12.2,79,0.722,373,0.592,255,0.337,0.557,0.571,10.5,3.1,1.4,0.9,0.6,1.2,13.6,11.9,15.0,4.9,107.8,103.5,18.12659722222222,jaden mcdaniels, MIN  ,8.0,0.078,0.0,1405.3,Front,Front
187,187,,chimezie metu,Det,F-C,27.1,14,29.4,15.4,17.9,21,0.952,71,0.62,43,0.302,0.557,0.596,10.5,6.0,1.9,1.7,0.5,1.8,16.5,12.4,18.4,6.7,108.9,111.5,23.149285714285714,chimezie metu, DET  ,5.5,0.0,0.0,758.8,Front,Front
188,188,,bojan bogdanovic,Nyk,F,35.0,29,19.2,24.3,12.9,45,0.8,129,0.488,127,0.37,0.521,0.549,10.4,2.0,0.9,0.2,0.0,1.3,12.4,11.3,13.3,5.5,103.9,111.6,13.293931034482757,bojan bogdanovic, BKN  ,9.0,0.006,0.0,1199.9,Front,Front
189,189,,obi toppin,Ind,F,26.1,82,21.1,16.8,10.6,102,0.775,326,0.706,253,0.403,0.661,0.677,10.3,3.9,1.6,0.6,0.5,0.8,14.2,11.9,15.8,7.6,128.8,114.4,18.787792682926828,obi toppin, IND  ,8.0,0.039,0.0,1622.0,Front,Front
190,190,,reggie jackson,Den,G,34.0,82,22.2,21.7,12.3,98,0.806,472,0.475,284,0.359,0.499,0.521,10.2,1.9,3.8,0.5,0.1,1.3,12.0,13.9,15.8,7.6,108.7,111.0,18.04165853658536,reggie jackson, PHI  ,7.5,0.031,0.0,1546.0,Front,Back
191,191,,t.j. mcconnell,Ind,G,32.1,71,18.2,23.6,15.4,62,0.79,549,0.568,44,0.409,0.572,0.586,10.2,2.7,5.5,1.0,0.1,1.5,12.9,15.7,18.4,11.7,120.6,115.5,22.42425352112676,t.j. mcconnell, IND  ,9.5,0.03,0.0,1673.2,Back,Back
192,192,,marvin bagley iii,Det,F,25.1,26,18.4,21.1,13.8,61,0.82,175,0.606,6,0.167,0.594,0.638,10.2,4.5,1.0,0.2,0.5,1.1,14.7,11.2,15.8,7.8,121.0,114.2,17.39715384615384,marvin bagley iii, WAS  ,9.5,0.001,0.0,1138.7,Front,Front
193,193,,kevin huerter,Sac,G,25.6,64,24.4,17.3,8.6,47,0.766,219,0.571,341,0.361,0.553,0.564,10.2,3.5,2.6,0.7,0.4,0.8,13.7,12.8,16.3,7.4,115.9,110.2,19.740671874999997,kevin huerter, SAC  ,9.0,0.001,0.0,1323.8,Front,Back
194,194,,onyeka okongwu,Atl,F-C,23.3,55,25.5,13.7,11.0,116,0.793,296,0.676,69,0.333,0.642,0.674,10.2,6.8,1.3,0.5,1.1,0.8,17.0,11.5,18.4,7.0,135.9,110.2,22.71201818181818,onyeka okongwu, ATL  ,9.5,0.001,0.0,1339.2,Front,Front
195,195,,kentavious caldwell-pope,Den,G,31.2,76,31.6,12.9,11.3,113,0.894,279,0.52,308,0.406,0.566,0.602,10.1,2.4,2.4,1.3,0.6,1.0,12.5,12.5,14.9,4.9,118.7,112.2,19.363236842105263,kentavious caldwell-pope, ORL  ,9.0,0.03,0.0,1603.6,Back,Back
196,196,,alex caruso,Chi,G,30.1,71,28.7,14.7,15.9,96,0.76,208,0.563,333,0.408,0.593,0.613,10.1,3.8,3.5,1.7,1.0,1.4,13.9,13.5,17.4,7.1,119.2,109.4,23.87704225352113,alex caruso, OKC  ,10.0,0.064,0.0,1881.1,Front,Back
197,197,,talen horton-tucker,Uta,G,23.4,51,19.8,24.0,12.3,109,0.807,283,0.438,182,0.33,0.46,0.503,10.1,2.4,3.5,0.9,0.4,1.3,12.5,13.6,16.0,8.9,108.3,113.9,19.54864705882353,talen horton-tucker, CHI  ,8.5,0.007,0.0,1053.7,Back,Back
198,198,,caleb martin,Mia,F,28.5,64,27.4,17.3,12.1,99,0.778,327,0.489,232,0.349,0.504,0.531,10.0,4.4,2.2,0.7,0.5,1.2,14.4,12.2,16.6,6.7,107.3,108.1,19.7758125,caleb martin, PHI  ,9.0,0.008,0.0,1341.5,Front,Front
199,199,,patrick williams,Chi,F,22.6,43,27.3,16.6,13.7,66,0.788,211,0.474,148,0.399,0.525,0.553,10.0,3.9,1.5,0.9,0.8,1.3,13.8,11.5,15.4,5.7,107.2,112.8,19.011209302325582,patrick williams, CHI  ,9.0,0.005,0.0,889.2,Front,Front
200,200,,tre jones,San,G,24.3,77,27.7,15.2,16.1,118,0.856,410,0.583,191,0.335,0.557,0.59,10.0,3.8,6.2,1.0,0.1,1.5,13.8,16.2,20.0,8.9,122.9,116.3,24.573285714285714,tre jones, SAS  ,9.5,0.024,0.0,1979.3,Front,Back
201,201,,vince williams jr.,Mem,G,23.6,52,27.6,15.8,19.5,130,0.8,170,0.529,209,0.378,0.55,0.597,10.0,5.6,3.4,0.9,0.7,1.8,15.6,13.4,19.0,8.3,114.3,107.6,23.236653846153843,vince williams jr., MEM  ,9.5,0.001,0.0,1282.5,Front,Back
202,202,,jordan goodwin,Mem,G,25.5,17,29.3,19.8,12.5,30,0.633,128,0.367,61,0.311,0.399,0.42,10.0,8.0,4.5,1.5,0.5,1.6,18.0,14.5,22.5,9.7,100.0,109.2,28.741470588235295,jordan goodwin, LAL  ,7.5,0.002,0.0,1046.1,Back,Back
203,203,,josh richardson,Mia,G,30.6,43,25.6,16.5,9.4,54,0.944,157,0.561,190,0.347,0.539,0.573,9.9,2.8,2.4,0.6,0.3,0.8,12.7,12.3,15.1,6.3,115.8,109.4,17.841860465116277,josh richardson, MIA  ,7.5,0.0,0.0,805.7,Front,Back
204,204,,jalen smith,Ind,F-C,24.1,61,17.2,19.4,10.0,104,0.692,251,0.689,144,0.424,0.67,0.682,9.9,5.5,1.0,0.3,0.6,0.7,15.4,10.9,16.4,8.8,132.7,108.8,19.052688524590167,jalen smith, CHI  ,9.0,0.007,0.0,1220.9,Front,Front
205,205,,tari eason,Hou,F,22.9,22,21.8,19.8,9.6,33,0.636,139,0.504,50,0.36,0.513,0.528,9.8,7.0,1.2,1.4,0.9,0.9,16.7,11.0,18.0,8.0,110.5,101.2,23.677272727272733,tari eason, HOU  ,10.0,0.03,0.0,569.1,Front,Front
206,206,,lonnie walker iv,Bro,G-F,25.3,58,17.4,24.4,9.4,59,0.763,221,0.471,271,0.384,0.528,0.545,9.7,2.2,1.3,0.6,0.3,0.9,11.9,11.0,13.2,7.0,105.8,112.7,15.238120689655174,lonnie walker iv, BOS  ,6.0,0.024,0.0,933.4,Back,Back
207,207,,nick richards,Cha,C,26.4,67,26.2,13.3,16.2,179,0.737,375,0.693,1,0.0,0.691,0.717,9.7,8.0,0.8,0.4,1.1,1.1,17.8,10.5,18.6,6.0,133.8,111.1,22.42646268656716,nick richards, CHA  ,9.5,0.001,0.0,1603.8,Front,Back
208,208,,payton pritchard,Bos,G,26.2,82,22.3,17.2,8.8,56,0.821,253,0.593,382,0.385,0.583,0.597,9.6,3.2,3.4,0.5,0.1,0.7,12.8,13.0,16.3,8.4,128.8,110.5,19.040536585365853,payton pritchard, BOS  ,8.0,0.093,0.0,1600.5,Back,Back
209,209,,bruce brown,Tor,G-F,27.7,34,26.0,16.4,14.4,60,0.833,205,0.532,63,0.317,0.519,0.557,9.6,3.8,2.7,0.7,0.3,1.3,13.5,12.4,16.2,7.1,110.1,114.9,18.95744117647059,bruce brown, TOR  ,9.0,0.001,0.0,1496.8,Front,Back
210,210,,amen thompson,Hou,G-F,21.2,62,22.4,18.5,16.8,155,0.684,388,0.595,58,0.138,0.545,0.576,9.5,6.6,2.6,1.3,0.6,1.5,16.1,12.2,18.8,9.8,117.3,103.3,23.664387096774195,amen thompson, HOU  ,10.0,0.034,0.0,1585.3,Back,Back
211,211,,georges niang,Cle,F,30.8,82,22.3,17.6,10.2,60,0.85,236,0.572,396,0.376,0.567,0.583,9.4,3.4,1.2,0.4,0.2,0.9,12.8,10.6,14.0,6.0,109.2,105.8,15.541853658536583,georges niang, CLE  ,6.0,0.027,0.0,1320.6,Front,Front
212,212,,josh hart,Nyk,G,29.1,81,33.4,13.5,14.8,115,0.791,421,0.511,258,0.31,0.493,0.522,9.4,8.3,4.1,0.9,0.3,1.5,17.7,13.5,21.8,8.2,114.5,107.9,26.407123456790128,josh hart, NYK  ,10.5,0.034,0.0,2243.5,Front,Back
213,213,,isaac okoro,Cle,F,23.2,69,27.3,13.9,10.1,137,0.679,265,0.57,215,0.391,0.577,0.599,9.4,3.0,1.9,0.8,0.5,0.8,12.4,11.3,14.3,5.5,120.7,110.3,17.631420289855072,isaac okoro, CLE  ,7.5,0.02,0.0,1311.2,Front,Front
214,214,,cameron payne,Phi,G,29.7,31,19.4,21.8,11.9,23,0.913,123,0.447,136,0.382,0.514,0.533,9.3,1.8,3.1,0.6,0.3,1.1,11.0,12.4,14.1,7.7,110.6,110.7,16.76216129032258,cameron payne, NYK  ,5.5,0.024,0.0,1118.9,Front,Back
215,215,,chris paul,Gol,G,38.9,58,26.4,15.6,14.0,52,0.827,257,0.498,210,0.371,0.525,0.544,9.2,3.9,6.8,1.2,0.1,1.3,13.1,16.0,19.8,9.5,123.7,110.5,25.364586206896547,chris paul, SAS  ,10.0,0.064,0.0,1544.5,Front,Back
216,216,,andrew nembhard,Ind,G-F,24.2,68,25.0,16.0,16.2,56,0.804,351,0.567,171,0.357,0.557,0.573,9.2,2.1,4.1,0.9,0.1,1.5,11.3,13.3,15.4,6.9,113.9,115.8,18.37880882352941,andrew nembhard, IND  ,8.0,0.048,0.0,1321.2,Front,Back
217,217,,malaki branham,San,F,20.9,75,21.3,19.8,12.8,63,0.873,360,0.494,268,0.347,0.506,0.526,9.2,2.0,2.1,0.4,0.1,1.2,11.2,11.3,13.3,6.3,100.8,116.7,14.545560000000002,malaki branham, SAS  ,5.5,0.004,0.0,1113.1,Back,Front
218,218,,brandin podziemski,Gol,G,21.1,74,26.6,15.4,12.8,79,0.633,363,0.499,234,0.385,0.529,0.54,9.2,5.8,3.7,0.8,0.2,1.2,15.0,12.9,18.7,8.8,117.1,111.8,22.533662162162162,brandin podziemski, GSW  ,9.5,0.061,0.0,1740.9,Front,Back
219,219,,duop reath,Por,C,27.8,68,17.9,20.7,9.4,93,0.742,254,0.559,245,0.359,0.549,0.571,9.1,3.7,1.0,0.5,0.6,0.8,12.8,10.1,13.7,7.2,115.6,107.2,16.41122058823529,duop reath, POR  ,5.0,0.085,0.0,1178.5,Front,Back
220,220,,sam hauser,Bos,F,26.4,79,22.0,15.0,5.4,19,0.895,93,0.559,465,0.424,0.623,0.629,9.0,3.5,1.0,0.5,0.3,0.4,12.5,10.1,13.5,5.7,126.2,109.7,15.918468354430379,sam hauser, BOS  ,6.5,0.047,0.0,1329.2,Front,Front
221,221,,seth curry,Cha,G,33.6,8,19.8,19.3,7.8,12,0.917,31,0.548,28,0.321,0.517,0.56,9.0,2.0,1.8,0.6,0.4,0.6,11.0,10.8,12.8,6.4,114.3,120.3,15.493,seth curry, CHA  ,5.0,0.024,0.0,436.6,Front,Back
222,222,,taurean prince,Lal,F,30.1,78,27.0,13.8,11.3,68,0.735,217,0.516,355,0.397,0.566,0.579,8.9,2.9,1.5,0.7,0.5,0.9,11.9,10.5,13.4,5.0,107.8,112.2,16.16242307692308,taurean prince, MIL  ,7.0,0.014,0.0,1360.5,Front,Front
223,223,,jabari walker,Por,F,21.7,72,23.6,16.3,11.5,171,0.754,370,0.522,139,0.295,0.5,0.546,8.9,7.1,1.0,0.6,0.3,0.9,15.9,9.8,16.9,6.8,113.6,108.5,19.784291666666668,jabari walker, POR  ,8.5,0.004,0.0,1480.1,Front,Front
224,224,,simone fontecchio,Uta,F,28.3,50,23.2,15.4,12.5,40,0.8,125,0.56,233,0.391,0.577,0.592,8.9,3.5,1.5,0.6,0.4,1.0,12.4,10.4,13.9,6.2,115.2,117.4,16.356180000000002,simone fontecchio, DET  ,7.5,0.017,0.0,1271.7,Front,Front
225,225,,kevin love,Mia,F,35.6,55,16.8,21.9,11.8,108,0.787,115,0.643,244,0.344,0.557,0.597,8.8,6.1,2.1,0.3,0.2,0.9,15.0,10.9,17.1,11.5,120.8,99.8,19.38261818181818,kevin love, MIA  ,8.5,0.011,0.0,1099.1,Front,Front
226,226,,terance mann,Lac,G-F,27.5,75,25.0,13.6,8.9,95,0.832,289,0.633,204,0.348,0.587,0.615,8.8,3.4,1.6,0.6,0.2,0.6,12.2,10.4,13.7,5.8,126.6,112.6,16.251866666666665,terance mann, LAC  ,6.5,0.053,0.0,1267.3,Front,Back
227,227,,ausar thompson,Det,F,21.2,63,25.1,16.6,14.9,119,0.597,367,0.575,113,0.186,0.505,0.522,8.8,6.4,1.9,1.1,0.9,1.3,15.2,10.7,17.1,7.6,106.2,108.5,22.057730158730156,ausar thompson, DET  ,9.5,0.004,0.0,1512.4,Front,Front
228,228,,dereck lively ii,Dal,C,20.2,55,23.5,12.6,14.4,81,0.506,294,0.752,2,0.0,0.747,0.728,8.8,6.9,1.1,0.7,1.4,0.9,15.7,9.9,16.7,6.9,137.9,105.5,22.014763636363636,dereck lively ii, DAL  ,9.5,0.071,0.0,1315.6,Front,Back
229,229,,davis bertans,Cha,F,31.4,28,20.8,17.7,7.5,18,0.889,32,0.5,176,0.375,0.553,0.57,8.8,1.8,0.9,0.8,0.3,0.6,10.6,9.7,11.5,4.7,109.4,116.0,13.895785714285713,davis bertans, CHA  ,5.0,0.0,0.0,511.7,Front,Front
230,230,,danilo gallinari,Det,F,35.7,6,14.9,16.0,4.3,24,0.875,10,0.5,12,0.583,0.705,0.799,8.7,2.3,2.0,0.3,0.3,0.2,11.0,10.7,13.0,9.2,169.8,112.0,15.424666666666665,danilo gallinari, MIL  ,5.5,0.003,0.0,529.1,Front,Front
231,231,,al horford,Bos,C-F,37.9,65,26.8,12.0,10.3,30,0.867,161,0.658,258,0.419,0.64,0.65,8.6,6.4,2.6,0.6,1.0,0.7,15.0,11.2,17.6,7.8,134.3,108.4,22.729107692307693,al horford, BOS  ,9.5,0.021,0.0,1561.6,Front,Front
232,232,,draymond green,Gol,F,34.1,55,27.1,15.3,26.6,74,0.73,243,0.551,129,0.395,0.566,0.587,8.6,7.2,6.0,1.0,0.9,2.5,15.9,14.7,21.9,10.6,115.0,104.0,27.57038181818182,draymond green, GSW  ,11.5,0.011,0.0,1621.6,Front,Front
233,233,,derrick jones jr.,Dal,F,27.2,76,23.5,14.9,11.6,136,0.713,256,0.613,239,0.343,0.566,0.592,8.6,3.3,1.0,0.7,0.7,0.9,11.9,9.6,12.9,5.2,116.0,112.9,16.00151315789474,derrick jones jr., LAC  ,7.0,0.042,0.0,1316.5,Front,Front
234,234,,dorian finney-smith,Bro,F,30.9,68,28.5,13.2,10.3,46,0.717,175,0.56,336,0.348,0.535,0.546,8.5,4.7,1.6,0.8,0.6,0.9,13.2,10.1,14.8,5.6,112.8,112.2,18.465970588235297,dorian finney-smith, BKN  ,8.0,0.006,0.0,1346.9,Front,Front
235,235,,gradey dick,Tor,G,20.4,60,21.1,17.4,10.1,51,0.863,204,0.495,241,0.365,0.524,0.546,8.5,2.2,1.1,0.6,0.0,0.8,10.7,9.6,11.8,5.2,105.3,116.7,13.1878,gradey dick, TOR  ,5.5,0.021,0.0,828.4,Front,Back
236,236,,tristan vukcevic,Was,F,21.1,10,15.3,23.8,12.9,22,0.773,31,0.613,36,0.278,0.507,0.554,8.5,3.6,1.3,0.5,0.7,1.0,12.1,9.8,13.4,8.9,106.2,102.5,16.1736,tristan vukcevic, WAS  ,5.0,0.002,0.0,173.7,Front,Front
237,237,,andre drummond,Chi,C,30.7,79,17.1,21.3,14.4,218,0.592,477,0.56,3,0.0,0.556,0.576,8.4,9.0,0.5,0.9,0.6,1.0,17.4,8.9,17.8,7.9,118.0,101.3,21.946151898734175,andre drummond, PHI  ,9.5,0.01,0.0,1850.1,Front,Back
238,238,,david roddy,Mem,F,23.1,48,23.2,18.1,12.3,67,0.687,230,0.47,156,0.301,0.462,0.485,8.4,4.2,1.6,0.5,0.2,1.1,12.6,10.0,14.1,6.6,98.4,112.8,16.137854166666664,david roddy, ATL  ,5.5,0.004,0.0,855.2,Front,Front
239,239,,bilal coulibaly,Was,G,19.7,63,27.2,14.2,16.8,131,0.702,247,0.502,185,0.346,0.509,0.543,8.4,4.1,1.7,0.9,0.8,1.4,12.5,10.2,14.3,5.7,102.6,115.9,17.914126984126987,bilal coulibaly, WAS  ,8.0,0.023,0.0,1232.2,Front,Back
240,240,,miles mcbride,Nyk,G,23.6,68,19.5,16.4,6.2,50,0.86,188,0.511,266,0.41,0.572,0.59,8.3,1.5,1.7,0.7,0.1,0.4,9.7,9.9,11.4,5.7,126.2,109.6,13.819352941176469,miles mcbride, NYK  ,5.5,0.054,0.0,994.0,Front,Back
241,241,,marcus sasser,Det,G,23.6,71,19.0,19.9,14.9,66,0.879,272,0.474,240,0.375,0.516,0.542,8.3,1.8,3.3,0.6,0.2,1.3,10.0,11.6,13.3,7.7,108.3,115.3,15.661690140845067,marcus sasser, DET  ,6.0,0.027,0.0,1168.0,Front,Back
242,242,,kyle lowry,Mia,G,38.1,37,28.0,13.4,17.7,42,0.833,81,0.506,161,0.385,0.554,0.582,8.2,3.5,4.0,1.1,0.4,1.4,11.6,12.2,15.6,6.9,115.8,105.7,19.98683783783784,kyle lowry, PHI  ,9.0,0.011,0.0,1254.1,Front,Back
243,243,,josh green,Dal,G,23.4,57,26.4,13.1,13.8,57,0.684,187,0.572,187,0.385,0.575,0.588,8.2,3.2,2.3,0.8,0.2,1.1,11.5,10.5,13.8,5.9,115.3,112.4,16.41633333333333,josh green, CHA  ,7.0,0.027,0.0,994.0,Front,Back
244,244,,isaiah joe,Okc,G,24.8,78,18.5,16.7,8.8,52,0.865,132,0.568,353,0.416,0.609,0.626,8.2,2.3,1.3,0.6,0.3,0.6,10.5,9.4,11.7,6.3,120.8,111.7,14.057128205128205,isaiah joe, OKC  ,5.5,0.029,0.0,1157.5,Front,Back
245,245,,ziaire williams,Mem,F,22.6,51,20.3,19.7,14.9,75,0.827,189,0.487,189,0.307,0.474,0.511,8.2,3.5,1.5,0.7,0.2,1.3,11.8,9.7,13.2,6.9,98.6,109.6,15.18882352941176,ziaire williams, BKN  ,6.0,0.006,0.0,817.5,Front,Front
246,246,,kelly olynyk,Uta,F-C,33.0,50,20.4,15.6,23.9,95,0.842,174,0.626,84,0.429,0.632,0.677,8.1,5.1,4.4,0.7,0.2,1.6,13.2,12.5,17.6,11.1,129.2,107.9,21.038919999999994,kelly olynyk, TOR  ,9.5,0.005,0.0,1935.7,Front,Front
247,247,,grant williams,Dal,F,25.4,47,26.4,13.6,14.3,55,0.745,107,0.486,210,0.376,0.538,0.56,8.1,3.6,1.7,0.5,0.6,1.1,11.7,9.9,13.4,5.6,110.0,108.7,16.094659574468082,grant williams, CHA  ,8.5,0.004,0.0,1566.6,Front,Front
248,248,,moses moody,Gol,G,21.9,66,17.5,18.4,9.5,93,0.785,220,0.555,200,0.36,0.548,0.578,8.1,3.0,0.9,0.6,0.4,0.7,11.0,8.9,11.9,6.4,116.4,110.9,14.328863636363636,moses moody, GSW  ,6.0,0.03,0.0,1007.7,Front,Back
249,249,,walker kessler,Uta,C,22.7,64,23.3,12.8,15.9,93,0.602,331,0.68,19,0.211,0.66,0.663,8.1,7.5,0.9,0.5,2.4,1.0,15.6,9.0,16.5,6.5,125.2,112.5,23.246453125000002,walker kessler, UTA  ,10.0,0.041,0.0,1670.0,Front,Back
250,250,,royce o'neale,Pho,F,30.9,30,25.1,13.9,9.3,13,0.692,57,0.509,157,0.376,0.549,0.555,8.1,5.2,2.7,0.9,0.5,0.7,13.3,10.9,16.1,7.7,118.6,109.1,20.52726666666667,royce o'neale, PHX  ,8.5,0.005,0.0,1621.9,Front,Front
251,251,,derrick rose,Mem,G,35.5,24,16.6,22.4,15.8,27,0.889,124,0.492,41,0.366,0.506,0.54,8.0,1.9,3.3,0.3,0.1,1.3,9.8,11.2,13.1,8.9,108.7,115.1,14.689874999999997,derrick rose, MEM  ,5.5,0.0,0.0,361.0,Front,Back
252,252,,dario saric,Gol,F-C,30.0,64,17.2,19.5,16.7,93,0.849,191,0.56,197,0.376,0.562,0.6,8.0,4.4,2.3,0.5,0.2,1.2,12.5,10.3,14.7,10.1,118.2,106.4,16.978328125,dario saric, DEN  ,7.0,0.013,0.0,1115.6,Front,Front
253,253,,nickeil alexander-walker,Min,F,25.6,82,23.4,14.8,12.4,65,0.8,203,0.517,335,0.391,0.56,0.578,8.0,2.0,2.5,0.8,0.5,0.9,10.0,10.5,12.5,5.8,115.3,106.9,15.836060975609756,nickeil alexander-walker, MIN  ,6.5,0.056,0.0,1403.4,Front,Front
254,254,,sam merrill,Cle,G,27.9,61,17.5,17.5,4.6,28,0.929,39,0.385,354,0.404,0.584,0.598,8.0,2.0,1.8,0.3,0.1,0.3,9.9,9.7,11.7,7.0,124.8,111.4,13.55229508196721,sam merrill, CLE  ,5.5,0.008,0.0,841.0,Front,Back
255,255,,malachi flynn,Det,G,25.9,24,14.3,26.0,14.0,38,0.684,89,0.528,76,0.316,0.503,0.528,8.0,1.8,2.1,0.8,0.1,1.1,9.8,10.1,11.9,8.7,104.1,115.0,14.011000000000001,malachi flynn, SAS  ,5.5,0.004,0.0,789.8,Front,Back
256,256,,kyle lowry,Phi,G,38.1,23,28.4,12.0,19.1,33,0.848,46,0.522,89,0.404,0.578,0.615,8.0,2.8,4.6,0.9,0.3,1.4,10.8,12.6,15.4,6.6,123.0,111.1,19.254608695652177,kyle lowry, PHI  ,9.0,0.011,0.0,1254.1,Front,Back
257,257,,darius bazley,Uta,F,23.8,6,23.7,12.1,19.2,12,0.833,21,0.762,8,0.25,0.655,0.7,8.0,4.5,0.8,1.0,1.2,1.2,12.5,8.8,13.3,5.2,124.2,121.0,17.799999999999997,darius bazley, UTA  ,5.5,0.0,0.0,123.1,Front,Front
258,258,,trayce jackson-davis,Gol,F,24.1,68,16.6,16.4,12.9,132,0.561,331,0.704,1,0.0,0.702,0.692,7.9,5.0,1.2,0.4,1.1,0.7,13.0,9.1,14.2,8.7,134.3,107.4,18.04264705882353,trayce jackson-davis, GSW  ,8.5,0.022,0.0,1338.2,Front,Front
259,259,,jordan nwora,Tor,F,25.6,34,15.6,22.3,15.9,42,0.833,122,0.557,95,0.347,0.541,0.573,7.9,3.4,1.3,0.6,0.4,1.2,11.4,9.2,12.6,8.4,104.8,114.6,14.764970588235293,jordan nwora, TOR  ,5.5,0.001,0.0,699.8,Front,Front
