,Player,PosFantasy,Precio,VI,USG%,ORtg,DRtg,eFG%,AGE,Puntos Fantasy
237,andre drummond,Front,9.5,7.9,21.3,118.0,101.3,0.556,30.7,21.946151898734172
238,david roddy,Front,5.5,6.6,18.1,98.4,112.8,0.462,23.1,16.137854166666664
239,bilal coulibaly,Front,8.0,5.7,14.2,102.6,115.9,0.509,19.7,17.914126984126987
240,miles mcbride,Front,5.5,5.7,16.4,126.2,109.6,0.572,23.6,13.819352941176469
241,marcus sasser,Front,6.0,7.7,19.9,108.3,115.3,0.516,23.6,15.661690140845067
242,kyle lowry,Front,9.0,6.9,13.4,115.8,105.7,0.554,38.1,19.98683783783784
243,josh green,Front,7.0,5.9,13.1,115.3,112.4,0.575,23.4,16.41633333333333
244,isaiah joe,Front,5.5,6.3,16.7,120.8,111.7,0.609,24.8,14.057128205128205
245,ziaire williams,Front,6.0,6.9,19.7,98.6,109.6,0.474,22.6,15.18882352941176
246,kelly olynyk,Front,9.5,11.1,15.6,129.2,107.9,0.632,33.0,21.038919999999997
247,grant williams,Front,8.5,5.6,13.6,110.0,108.7,0.538,25.4,16.094659574468082
248,moses moody,Front,6.0,6.4,18.4,116.4,110.9,0.548,21.9,14.328863636363636
249,walker kessler,Front,10.0,6.5,12.8,125.2,112.5,0.66,22.7,23.246453125
250,royce o'neale,Front,8.5,7.7,13.9,118.6,109.1,0.549,30.9,20.52726666666667
251,derrick rose,Front,5.5,8.9,22.4,108.7,115.1,0.506,35.5,14.689874999999995
252,dario saric,Front,7.0,10.1,19.5,118.2,106.4,0.562,30.0,16.978328125
253,nickeil alexander-walker,Front,6.5,5.8,14.8,115.3,106.9,0.56,25.6,15.836060975609756
254,sam merrill,Front,5.5,7.0,17.5,124.8,111.4,0.584,27.9,13.55229508196721
255,malachi flynn,Front,5.5,8.7,26.0,104.1,115.0,0.503,25.9,14.011
256,kyle lowry,Front,9.0,6.6,12.0,123.0,111.1,0.578,38.1,19.254608695652177
257,darius bazley,Front,5.5,5.2,12.1,124.2,121.0,0.655,23.8,17.799999999999997
258,trayce jackson-davis,Front,8.5,8.7,16.4,134.3,107.4,0.702,24.1,18.04264705882353
259,jordan nwora,Front,5.5,8.4,22.3,104.8,114.6,0.541,25.6,14.764970588235292
260,dante exum,Front,5.5,8.0,15.0,127.9,111.8,0.621,28.8,15.474945454545454
261,markelle fultz,Back,7.5,7.8,18.8,105.7,107.4,0.479,25.9,17.23025581395349
262,isaiah hartenstein,Front,10.0,8.6,12.0,133.2,101.2,0.645,25.9,24.866
263,jordan hawkins,Front,5.5,6.0,19.9,108.6,111.9,0.501,22.0,12.162686567164178
264,precious achiuwa,Front,9.0,9.6,21.2,105.9,110.2,0.497,24.6,17.89708
265,nikola jovic,Front,6.5,8.2,17.1,113.2,103.9,0.568,20.9,16.392282608695655
266,raiquan gray,Front,4.5,10.1,19.5,135.5,121.0,0.676,24.8,14.329666666666665
267,precious achiuwa,Front,9.0,6.5,14.0,116.2,106.0,0.547,24.6,20.17885714285714
268,cody martin,Front,9.0,7.1,16.1,96.6,116.2,0.444,28.5,19.562785714285717
269,brice sensabaugh,Front,5.0,7.5,20.3,98.5,116.1,0.468,20.5,13.623500000000002
270,toumani camara,Front,7.5,5.7,13.8,109.0,110.7,0.516,23.9,16.811000000000003
271,jaylen nowell,Back,5.0,6.9,20.5,115.9,119.9,0.565,24.8,12.797
272,royce o'neale,Front,8.5,7.4,13.9,112.0,108.4,0.537,30.9,18.627224489795918
273,trey jemison,Front,6.0,6.0,13.6,110.6,106.5,0.551,24.4,18.08921739130435
274,aleksej pokusevski,Front,5.0,7.9,17.6,111.4,116.0,0.505,22.3,17.374833333333335
275,quentin grimes,Back,5.0,5.1,15.3,115.2,110.1,0.53,23.9,12.562222222222225
276,paul reed,Front,9.0,7.9,15.9,121.5,102.2,0.561,24.8,19.270195121951215
277,jaden hardy,Front,5.5,7.9,24.9,102.9,111.4,0.492,21.8,11.673150684931503
278,christian braun,Back,6.5,6.9,15.7,115.8,108.6,0.525,23.0,15.25278048780488
279,taylor hendricks,Front,7.0,5.6,13.7,115.8,113.2,0.56,20.4,16.324425
280,trey lyles,Front,5.5,6.7,14.4,119.9,111.2,0.576,28.4,14.807586206896552
