,Player,PosFantasy,Precio,VI,USG%,ORtg,DRtg,eFG%,AGE,Puntos Fantasy
451,mouhamed gueye,Front,5.0,7.2,15.2,118.1,100.3,0.413,21.4,12.2875
452,rayan rupert,Front,4.5,6.1,13.6,97.6,113.5,0.422,19.9,9.253435897435896
453,adama sanogo,Front,4.5,0.0,24.9,116.4,109.2,0.519,22.2,8.403333333333334
454,mamadi diakite,Front,4.5,10.6,20.2,167.1,115.8,0.8,27.2,6.850666666666666
455,matt hurt,Front,4.5,4.5,14.2,103.8,113.7,0.426,24.0,8.45
456,xavier tillman,Front,6.5,6.5,11.8,126.9,109.0,0.576,25.3,10.44025
457,izaiah brockington,Front,4.5,0.0,64.0,0.0,0.0,0.4,24.8,6.4
458,deandre jordan,Front,5.5,8.3,15.4,120.0,98.7,0.624,35.7,10.876861111111111
459,chris duarte,Front,5.0,5.6,14.9,105.5,107.0,0.486,26.8,7.906169491525423
460,jules bernard,Back,4.5,8.3,21.4,108.6,115.5,0.539,24.2,6.972473684210526
461,anthony gill,Front,5.0,7.4,18.0,109.0,113.6,0.5,31.5,7.609519999999998
462,tre mann,Back,9.0,9.4,18.0,114.9,113.9,0.6,23.2,7.877615384615384
463,sidy cissoko,Front,4.5,6.0,12.8,123.3,106.6,0.5,20.0,8.607999999999999
464,kira lewis jr.,Front,5.0,7.4,17.5,112.7,122.3,0.475,23.0,7.6525
465,oshae brissett,Front,5.0,7.1,14.5,120.4,105.4,0.493,25.8,8.735399999999998
466,,,,6.3,13.2,113.0,103.9,0.564,23.3,8.17851724137931
467,jamal cain,Front,4.5,5.1,16.7,111.9,106.7,0.5,25.1,6.911076923076923
468,drew peterson,Front,4.5,3.6,13.4,144.2,110.0,0.917,24.4,5.576666666666667
469,t.j. warren,Front,5.0,6.4,16.6,102.5,103.4,0.463,30.6,7.925636363636363
470,jamaree bouyea,Front,4.5,7.1,9.0,141.0,98.8,0.786,24.8,9.068
471,yuta watanabe,Front,5.0,3.6,13.6,96.2,110.6,0.485,29.5,6.236379310344828
472,lindy waters iii,Front,5.0,7.2,17.3,128.3,109.5,0.649,26.7,6.22371052631579
473,james bouknight,Front,4.5,6.6,24.0,115.8,121.8,0.598,23.6,5.190000000000001
474,gui santos,Front,4.5,7.9,15.2,134.0,105.6,0.6,21.8,7.284130434782609
475,collin gillespie,Back,4.5,6.5,17.1,109.1,105.5,0.572,24.8,6.755416666666667
476,jarace walker,Front,5.0,7.8,16.1,108.3,112.7,0.509,20.6,8.815787878787878
477,jordan mclaughlin,Front,5.0,7.5,12.1,136.3,107.8,0.628,28.0,9.142499999999998
478,onuralp bitim,Front,4.5,4.9,15.8,94.3,112.9,0.452,25.0,6.059826086956521
479,mike muscala,Front,5.0,5.6,11.9,113.4,115.6,0.489,32.8,8.298769230769233
480,richaun holmes,Front,5.0,7.8,14.5,120.5,103.3,0.559,30.5,9.01926086956522
481,harry giles iii,Front,4.5,10.2,30.3,106.4,99.1,0.534,26.0,6.0961875
482,nassir little,Front,5.0,5.6,13.9,114.0,109.8,0.544,24.2,6.668577777777778
483,moses brown,Front,5.0,7.0,19.1,101.5,103.5,0.508,24.5,9.040454545454544
484,jalen mcdaniels,Front,5.0,5.8,18.7,85.5,112.2,0.376,26.2,6.74942
485,wenyen gabriel,Front,4.5,5.4,17.1,67.5,102.9,0.386,27.1,10.3044
486,buddy boeheim,Front,4.5,4.8,17.0,116.1,119.3,0.448,24.4,5.250000000000001
487,garrett temple,Front,4.5,6.6,15.0,106.9,112.4,0.449,37.9,7.298074074074075
488,tristan thompson,Front,5.0,8.1,13.7,118.1,103.8,0.613,33.1,9.506938775510203
489,dwight powell,Front,5.5,7.3,9.1,146.6,104.2,0.684,32.7,10.23068253968254
490,vasilije micic,Back,5.5,6.3,15.4,102.0,113.3,0.467,30.3,7.807433333333332
491,charles bassey,Front,5.0,9.0,11.8,125.0,100.4,0.725,23.5,11.567368421052633
492,micah potter,Front,4.5,5.3,10.9,121.5,115.0,0.588,26.0,8.2534375
493,oscar tshiebwe,Front,4.5,9.7,23.5,131.4,112.8,0.5,24.4,6.9
494,terquavion smith,Front,4.5,7.0,28.2,103.4,107.0,0.533,21.3,5.4078125
495,ish smith,Front,5.0,6.3,12.3,97.3,118.1,0.43,35.8,10.390232558139536
496,boban marjanovic,Front,4.5,11.2,27.1,111.6,104.4,0.529,35.7,6.576714285714285
497,zeke nnaji,Front,5.0,6.5,15.4,112.1,102.7,0.483,23.3,8.246603448275863
498,brandon williams,Front,4.5,8.3,26.0,96.7,118.1,0.398,24.4,5.636882352941177
499,jt thor,Front,5.0,5.0,11.7,110.1,116.1,0.514,21.6,7.670603174603174
500,a.j. lawson,Front,5.0,6.7,20.0,104.7,111.8,0.5,23.7,5.726428571428572
501,wesley matthews,Front,5.0,4.9,11.7,111.9,111.8,0.474,37.5,6.956333333333332
502,gabe vincent,Front,4.5,3.4,10.9,86.0,111.6,0.337,27.8,7.998181818181818
503,dalen terry,Front,5.0,7.0,13.4,108.4,106.5,0.494,21.8,8.532966101694914
504,robert covington,Front,5.0,4.6,6.3,130.2,106.3,0.444,33.3,15.09
505,saben lee,Back,4.5,8.9,18.8,114.7,110.9,0.382,24.8,6.9705
506,johnny davis,Front,5.0,4.4,12.2,98.4,115.6,0.448,22.1,6.5196000000000005
507,olivier-maxence prosper,Front,5.0,7.3,16.6,113.0,112.4,0.447,21.8,6.726550000000001
508,davis bertans,Front,5.0,7.0,16.0,146.2,106.5,0.577,31.4,5.374600000000001
509,kira lewis jr.,Front,5.0,6.1,19.6,89.0,112.4,0.327,23.0,6.1154
510,trevelin queen,Front,4.5,5.9,13.3,101.1,105.1,0.408,27.1,7.786000000000001
511,jeremiah robinson-earl,Front,5.0,6.5,15.4,112.1,108.3,0.542,23.4,6.376487179487179
512,ish wainright,Front,4.5,0.0,18.4,106.2,109.4,0.5,29.6,5.1171428571428565
513,,,,6.5,19.6,117.7,110.7,0.56,25.2,4.71518181818182
514,lamar stevens,Front,5.5,7.6,21.0,106.5,101.0,0.5,26.8,6.007421052631578
515,orlando robinson,Front,4.5,8.6,14.8,119.9,101.6,0.556,23.8,7.158861111111111
516,d.j. carton,Front,4.5,5.9,13.5,119.8,115.6,0.438,23.7,5.45
517,danilo gallinari,Front,5.5,5.7,15.3,102.9,109.7,0.419,35.7,5.533411764705883
518,henri drell,Front,4.5,7.5,18.9,102.5,96.0,0.5,24.0,6.5485
519,nicolas batum,Front,7.0,4.9,7.3,112.5,107.6,0.5,35.3,12.278666666666664
520,patty mills,Front,5.0,4.8,12.2,101.6,114.6,0.5,35.7,5.852421052631579
521,damian jones,Front,5.0,7.0,15.4,124.5,105.2,0.618,28.8,5.9642307692307694
522,emoni bates,Front,4.5,5.4,19.5,79.9,115.2,0.408,20.2,4.764200000000001
523,leaky black,Front,4.5,6.0,10.1,124.3,116.2,0.567,24.8,7.364038461538461
524,malik williams,Front,4.5,4.3,15.2,78.3,104.8,0.279,25.6,11.24542857142857
525,otto porter jr.,Front,4.5,4.7,8.9,122.1,110.7,0.545,30.9,6.7308
526,moussa diabate,Front,4.5,9.2,18.6,135.9,109.5,0.526,22.2,6.995454545454546
527,kenneth lofton jr.,Front,5.0,8.0,21.6,95.3,102.1,0.419,21.7,5.5482
528,yuta watanabe,Front,5.0,4.1,12.0,69.6,112.8,0.342,29.5,6.861600000000001
529,timmy allen,Front,4.5,3.3,8.9,72.5,103.9,0.261,24.3,9.38
530,markieff morris,Front,5.0,6.3,16.4,92.3,112.7,0.449,34.6,5.338307692307693
531,alex len,Front,5.0,8.1,11.8,122.4,101.7,0.617,30.8,8.439750000000002
532,furkan korkmaz,Back,5.0,5.4,13.6,107.9,112.8,0.487,26.7,5.343371428571429
533,greg brown iii,Front,4.5,8.4,20.4,96.0,106.5,0.5,22.6,6.048833333333332
534,tosan evbuomwan,Front,5.0,5.1,9.3,103.1,115.1,0.333,23.2,9.251
535,cory joseph,Back,4.5,5.8,11.3,107.8,112.6,0.461,32.7,6.366038461538462
536,joe harris,Front,5.0,4.0,11.0,102.4,113.0,0.487,32.6,4.595125
537,xavier moon,Front,4.5,7.9,19.1,94.7,113.8,0.348,29.3,6.567285714285715
538,aj griffin,Front,4.5,4.1,17.3,77.0,121.7,0.371,20.6,3.928
539,mouhamadou gueye,Front,4.5,5.0,19.2,67.2,110.1,0.289,25.8,8.331454545454546
540,chuma okeke,Front,5.0,5.0,13.3,96.6,110.7,0.46,25.7,5.214404255319149
541,isaiah mobley,Front,4.5,6.2,16.2,102.4,108.8,0.479,24.6,4.6000000000000005
542,dalano banton,Back,8.5,7.9,17.8,105.4,102.7,0.392,24.4,5.534166666666667
543,olivier sarr,Front,4.5,5.0,12.6,135.0,94.2,0.632,25.1,6.096066666666666
544,dereon seabron,Front,4.5,5.7,12.3,114.8,109.3,0.346,23.9,5.974
545,cole swider,Front,4.5,5.4,24.1,91.3,113.2,0.526,24.9,3.261666666666667
546,amari bailey,Front,4.5,7.0,21.3,96.3,122.0,0.354,20.2,4.631499999999999
547,thaddeus young,Front,5.0,7.4,12.8,121.4,103.9,0.524,35.8,7.709899999999999
548,,,,4.4,9.4,111.8,109.4,0.579,33.1,5.2721136363636365
549,udoka azubuike,Front,4.5,5.4,12.6,117.4,101.7,0.696,24.6,5.5886875
550,nate hinton,Front,4.5,10.6,17.8,127.0,98.8,0.558,24.9,5.449466666666666
551,trent forrest,Front,5.0,7.0,11.8,109.0,117.6,0.389,25.8,7.644342105263156
552,andre jackson jr.,Front,5.0,6.3,10.0,118.8,102.3,0.585,22.4,6.24377192982456
553,julian phillips,Front,4.5,4.2,13.0,106.5,108.6,0.494,20.4,4.2558500000000015
554,malachi flynn,Front,5.5,6.6,22.0,116.0,113.2,0.478,25.9,3.295
555,colby jones,Back,4.5,7.8,19.1,97.0,102.3,0.408,21.9,5.244633333333334
556,jaden springer,Front,5.0,5.7,14.0,104.7,99.0,0.467,21.6,5.34929411764706
557,p.j. tucker,Front,5.0,0.0,4.6,87.1,100.6,0.6,38.9,10.340000000000002
558,daniel theis,Front,6.0,0.0,20.0,54.7,115.9,0.25,32.0,1.998
559,lindell wigginton,Front,4.5,0.0,39.1,0.0,0.0,0.4,26.0,1.700666666666667
560,ty jerome,Front,5.5,6.2,14.9,110.9,107.5,0.5,26.8,4.351000000000001
561,jordan ford,Front,4.5,6.3,17.4,0.0,0.0,0.714,25.9,2.6105
562,jericho sims,Front,5.0,4.9,6.0,136.3,108.5,0.691,25.5,7.704844444444445
563,jd davison,Front,4.5,12.3,17.6,133.2,102.3,0.542,21.5,5.611125
564,isaiah wong,Front,4.5,0.0,29.2,69.6,128.9,0.333,23.2,2.0
565,kobe brown,Front,5.0,5.3,11.1,109.9,106.4,0.489,24.3,5.204545454545455
566,d'moi hodge,Front,4.5,0.0,17.6,97.1,112.1,0.433,25.3,3.3502857142857145
567,markquis nowell,Front,4.5,22.9,22.9,0.0,0.0,0.0,24.3,9.4
568,kevon harris,Front,4.5,12.9,28.7,0.0,0.0,0.667,26.8,3.4510000000000005
569,cody zeller,Front,5.0,8.7,12.9,118.2,99.6,0.427,31.5,6.437883720930233
570,daishen nix,Front,4.5,6.4,28.1,0.0,0.0,0.5,22.2,2.9406000000000003
571,justin minaya,Front,4.5,4.3,9.7,98.9,114.0,0.378,25.1,5.514676470588234
572,bismack biyombo,Front,5.5,4.7,11.5,106.5,106.2,0.583,31.6,4.659199999999999
573,shake milton,Front,5.0,9.4,15.6,136.5,84.9,0.5,27.5,4.484333333333334
574,kessler edwards,Front,5.0,5.8,14.0,115.3,108.8,0.537,23.7,3.6337777777777776
575,jamaree bouyea,Front,4.5,6.5,21.6,54.8,117.8,0.238,24.8,4.358333333333333
576,leonard miller,Front,4.5,13.0,18.5,0.0,0.0,0.7,20.4,4.19529411764706
577,jordan walsh,Front,4.5,5.6,9.8,105.4,97.8,0.467,20.1,6.306444444444446
578,jason preston,Front,4.5,8.3,12.4,106.1,119.0,0.316,24.7,8.544285714285712
579,p.j. tucker,Front,5.0,3.6,5.5,122.7,108.4,0.478,38.9,6.743571428571429
580,jalen pickett,Front,4.5,7.7,16.4,109.2,106.4,0.557,24.5,3.255555555555556
581,josh minott,Front,4.5,8.6,21.4,0.0,0.0,0.528,21.4,3.1124374999999995
582,jalen hood-schifino,Front,4.5,5.6,24.8,66.3,106.9,0.244,20.8,2.939285714285715
583,jett howard,Front,4.5,6.2,22.9,0.0,0.0,0.45,20.6,2.7411111111111115
584,seth lundy,Front,4.5,0.0,15.8,81.8,112.7,0.324,24.0,2.416555555555556
585,jordan miller,Front,4.5,0.0,16.9,0.0,0.0,0.611,24.2,2.24425
586,keita bates-diop,Front,5.0,5.5,13.2,123.5,116.4,0.531,28.2,3.3122857142857143
587,filip petrusev,Front,4.5,0.0,18.7,0.0,0.0,0.5,24.0,1.5
588,ibou badji,Front,4.5,4.9,8.0,102.0,99.6,0.636,21.5,6.504727272727272
589,colin castleton,Front,4.5,6.7,15.8,0.0,0.0,0.563,23.9,2.761
590,terry taylor,Front,4.5,5.3,11.3,116.2,111.2,0.538,24.6,3.773677419354839
591,dariq whitehead,Front,4.5,5.5,10.6,83.5,121.1,0.2,19.7,7.15
592,dylan windler,Front,4.5,8.9,14.0,0.0,0.0,0.667,27.6,3.18
593,adam flagler,Front,4.5,0.0,21.7,78.4,123.7,0.214,24.4,4.503
594,jack white,Front,4.5,2.8,12.1,54.1,112.2,0.188,26.7,7.65
595,jerome robinson,Front,4.5,4.7,20.8,0.0,0.0,0.364,27.1,2.1704545454545454
596,kendall brown,Front,4.5,4.8,13.8,119.0,112.3,0.533,20.9,2.1093333333333333
597,jacob toppin,Front,4.5,6.6,12.3,138.8,110.7,0.611,23.9,2.954444444444444
598,jermaine samuels jr.,Front,4.5,5.9,10.5,148.0,108.4,0.643,25.4,3.208571428571429
599,mason jones,Front,4.5,8.1,16.8,92.9,106.6,0.375,25.7,4.1012
600,r.j. hampton,Front,4.5,4.3,10.5,84.6,107.8,0.321,23.2,3.31
601,tyty washington jr.,Front,4.5,5.4,17.0,80.6,117.4,0.35,22.4,3.0229090909090908
602,nathan mensah,Front,4.5,3.6,6.8,103.3,100.9,0.429,26.0,6.040960000000001
603,skylar mays,Front,4.5,6.0,12.9,112.6,108.5,0.524,26.6,3.574117647058823
604,theo maledon,Back,4.5,0.0,27.5,0.0,0.0,0.25,22.8,0.8099999999999998
605,david roddy,Front,5.5,5.8,18.2,0.0,0.0,0.457,23.1,2.314117647058824
606,isaiah thomas,Front,4.5,0.0,22.3,0.0,0.0,0.4,35.2,2.084
607,aleksej pokusevski,Front,5.0,5.5,14.9,78.8,109.1,0.313,22.3,3.2506000000000004
608,jay huff,Front,4.5,6.7,14.9,0.0,0.0,0.7,26.6,2.51955
609,keyontae johnson,Front,4.5,4.4,13.1,78.4,111.4,0.344,23.9,2.942777777777778
610,chris livingston,Front,4.5,5.8,13.7,101.3,100.1,0.523,20.5,2.737714285714285
611,robin lopez,Front,4.5,4.6,14.6,100.1,111.0,0.421,36.0,2.4356249999999995
612,admiral schofield,Front,4.5,6.6,16.5,0.0,0.0,0.5,27.0,2.220434782608695
613,braxton key,Front,4.5,10.5,15.6,0.0,0.0,0.471,27.2,3.2304000000000004
614,hunter tyson,Front,4.5,5.6,20.0,0.0,0.0,0.5,23.8,1.962
615,mike muscala,Front,5.0,5.3,12.5,87.9,108.1,0.386,32.8,3.1721875000000006
616,taj gibson,Front,4.5,4.0,7.5,90.8,99.5,0.304,38.8,4.7605
617,dylan windler,Front,4.5,7.2,11.7,0.0,0.0,0.75,27.6,1.81
618,joshua primo,Front,4.5,0.0,29.8,36.6,125.2,0.333,21.3,0.6000000000000001
619,alex fudge,Front,4.5,0.0,23.4,0.0,0.0,0.167,20.9,1.3
620,kenneth lofton jr.,Front,5.0,0.0,39.2,26.8,113.8,0.167,21.7,1.7999999999999998
621,hamidou diallo,Front,4.5,13.2,26.3,0.0,0.0,0.5,25.7,4.45
622,frank ntilikina,Front,4.5,4.6,11.2,74.9,115.6,0.167,25.7,3.44
623,ryan rollins,Back,4.5,8.9,10.8,126.9,100.9,0.75,21.8,4.44
624,james johnson,Front,4.5,5.3,14.1,79.2,100.1,0.3,37.1,3.5188888888888887
625,thanasis antetokounmpo,Front,4.5,4.9,12.5,92.0,104.1,0.533,31.7,2.37164705882353
626,daquan jeffries,Front,4.5,6.2,19.6,0.0,0.0,0.412,26.6,1.633176470588235
627,charlie brown jr.,Front,4.5,0.0,13.9,60.2,106.6,0.3,26.2,1.41075
628,ish wainright,Front,4.5,6.6,18.4,79.9,87.1,0.25,29.6,3.46
629,shaquille harrison,Front,4.5,0.0,14.3,0.0,0.0,0.5,30.5,2.1066666666666665
630,wendell moore jr.,Front,4.5,5.5,12.9,0.0,0.0,0.5,22.6,1.82
631,jalen slawson,Front,4.5,5.7,9.2,0.0,0.0,0.667,24.5,1.886666666666667
632,alondes williams,Front,4.5,0.0,29.9,0.0,0.0,0.25,24.8,0.7342857142857142
633,pat spencer,Front,4.5,6.8,8.2,127.5,118.6,0.5,27.8,2.506666666666667
634,quenton jackson,Front,4.5,9.8,7.5,0.0,0.0,0.0,25.6,3.8766666666666665
635,juan toscano-anderson,Front,4.5,5.7,11.4,83.3,95.2,0.292,31.0,2.996363636363637
636,usman garuba,Front,4.5,6.6,21.0,0.0,0.0,0.167,22.1,3.3400000000000003
637,e.j. liddell,Front,4.5,4.3,16.7,0.0,0.0,0.167,23.3,2.2700000000000005
638,pete nance,Front,4.5,0.0,12.7,0.0,0.0,0.25,24.2,0.955
639,maxwell lewis,Front,4.5,2.4,13.6,0.0,0.0,0.214,21.7,0.643470588235294
640,harry giles iii,Front,4.5,0.0,13.8,0.0,0.0,0.167,26.0,1.2054285714285713
641,danny green,Front,4.5,0.0,4.7,33.1,112.0,0.0,36.8,2.95
642,ryan arcidiacono,Front,4.5,0.0,7.6,0.0,0.0,0.0,30.1,0.88
643,kaiser gates,Front,4.5,0.0,23.5,0.0,118.9,0.0,27.4,1.2
644,marques bolden,Front,4.5,0.0,0.0,0.0,0.0,0.0,26.0,1.2
645,filip petrusev,Front,4.5,0.0,0.0,0.0,0.0,0.0,24.0,1.2
646,javonte smart,Front,4.5,0.0,0.0,0.0,0.0,0.0,24.9,0.0
647,malcolm cazalon,Front,4.5,0.0,0.0,0.0,0.0,0.0,22.6,0.0
648,ron harper jr.,Front,4.5,0.0,0.0,0.0,0.0,0.0,24.0,1.5
649,dmytro skapintsev,Front,4.5,0.0,20.5,0.0,0.0,0.0,25.9,0.0
650,trey jemison,Front,6.0,0.0,28.1,0.0,0.0,0.0,24.4,0.0999999999999999
651,kira lewis jr.,Front,5.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
652,darius bazley,Front,5.5,0.0,8.8,0.0,0.0,0.0,23.8,1.1099999999999997
653,justin jackson,Front,5.0,0.0,0.0,0.0,0.0,0.0,29.1,0.0
654,jalen crutcher,Front,4.5,0.0,16.1,0.0,0.0,0.0,24.7,0.0
655,andrew funk,Front,4.5,0.0,13.1,0.0,0.0,0.0,24.6,0.8
656,jacob gilyard,Front,5.0,0.0,6.8,57.7,106.2,0.0,25.8,5.91
657,mamadi diakite,Front,4.5,0.0,10.2,0.0,0.0,0.0,27.2,0.6599999999999999
